mode,b_tokens,step,gap_ms
chunked-2048,4096,45,14.895025000001283
chunked-2048,4096,46,16.92201000000182
chunked-2048,4096,47,16.20599799999667
chunked-2048,4096,48,17.04780000000028
chunked-2048,4096,49,14.962554000000239
chunked-2048,4096,50,15.716428000004612
chunked-2048,4096,51,14.927295999996204
chunked-2048,4096,52,16.344264000004216
chunked-2048,4096,53,15.098848000000942
chunked-2048,4096,54,19.02681999999345
chunked-2048,4096,55,14.575139000001514
chunked-2048,4096,56,14.427474000001439
chunked-2048,4096,57,14.49398599999796
chunked-2048,4096,58,15.085304000002964
chunked-2048,4096,59,18.64862899999764
chunked-2048,4096,60,17.478449999998702
chunked-2048,4096,61,15.737983000001066
chunked-2048,4096,62,17.333469000000434
chunked-2048,4096,63,15.831638999998177
chunked-2048,4096,64,17.645753000003594
chunked-2048,4096,65,17.45716199999947
chunked-2048,4096,66,16.483583999999496
chunked-2048,4096,67,16.833046000002128
chunked-2048,4096,68,16.672165999999322
chunked-2048,4096,69,14.847441999997102
chunked-2048,4096,70,15.69003899999899
chunked-2048,4096,71,18.382420000001787
chunked-2048,4096,72,15.753649000004089
chunked-2048,4096,73,15.168416999998158
chunked-2048,4096,74,14.932262999998613
chunked-2048,4096,75,17.02909099999772
chunked-2048,4096,76,16.110705000002667
chunked-2048,4096,77,15.36257000000063
chunked-2048,4096,78,18.049836999999513
chunked-2048,4096,79,17.204530000000773
chunked-2048,4096,80,15.059239000002833
chunked-2048,4096,81,14.71187699999632
chunked-2048,4096,82,14.909803999998417
chunked-2048,4096,83,16.267548999998382
chunked-2048,4096,84,15.149521000004995
chunked-2048,4096,85,21.23484399999853
chunked-2048,4096,86,20.939230000003306
chunked-2048,4096,87,17.867094999999722
chunked-2048,4096,88,15.468310999999346
chunked-2048,4096,89,16.40571200000096
chunked-2048,4096,90,15.751200999993387
chunked-2048,4096,91,14.969371000006504
chunked-2048,4096,92,17.87440100000026
chunked-2048,4096,93,17.751841999995577
chunked-2048,4096,94,15.930252000003975
chunked-2048,4096,95,15.68515299999973
chunked-2048,4096,96,14.610943999997517
chunked-2048,4096,97,15.731961000000183
chunked-2048,4096,98,16.52058700000225
chunked-2048,4096,99,14.542573999996478
disaggregated-thread,4096,0,14.673838000000217
disaggregated-thread,4096,1,14.655486999998857
disaggregated-thread,4096,2,13.965964999997027
disaggregated-thread,4096,3,14.923041999999498
disaggregated-thread,4096,4,13.801116999999863
disaggregated-thread,4096,5,13.772117999998557
disaggregated-thread,4096,6,13.732737000005102
disaggregated-thread,4096,7,13.660166000001084
disaggregated-thread,4096,8,13.753522999998324
disaggregated-thread,4096,9,13.753282999999783
disaggregated-thread,4096,10,13.784776999997916
disaggregated-thread,4096,11,14.020942000001924
disaggregated-thread,4096,12,13.801131000001021
disaggregated-thread,4096,13,13.706612000000007
disaggregated-thread,4096,14,13.732440999994822
disaggregated-thread,4096,15,13.63618700000302
disaggregated-thread,4096,16,13.772140999996907
disaggregated-thread,4096,17,13.785159000001102
disaggregated-thread,4096,18,13.971426000004783
disaggregated-thread,4096,19,14.090389999999786
disaggregated-thread,4096,20,55.81642799999997
disaggregated-thread,4096,21,25.6525510000003
disaggregated-thread,4096,22,15.23758399999764
disaggregated-thread,4096,23,26.269501999998113
disaggregated-thread,4096,24,15.87687399999993
